prediction;test_price
21.51;22.46
21.83;22.31
22.31;22.47
22.23;23.73
22.09;23.54
22.99;23.42
23.31;23.35
23.45;22.92
23.38;23.22
23.1;22.24
22.89;22.6
22.64;22.7
22.58;22.38
22.71;22.46
22.77;23.63
22.4;23.41
23.11;22.93
23.21;23.22
23.37;23.25
23.26;22.9
23.06;22.22
23.22;22.31
22.67;22.56
22.08;22.92
22.41;23.72
22.75;23.73
23.49;23.79
23.45;23.91
23.31;23.92
23.8;23.77
23.83;23.06
23.63;22.74
23.2;22.49
22.73;22.53
22.62;22.93
22.42;23.27
22.56;23.86
23.18;25.11
23.64;25.16
24.59;24.86
24.7;25.05
24.79;25.12
24.89;25.2
25.03;25.18
24.94;24.79
25.0;25.13
24.67;24.86
25.03;24.77
25.08;24.46
24.84;25.0
24.57;24.74
25.07;24.31
24.85;24.23
24.56;24.09
24.31;24.5
24.11;24.95
24.34;24.94
24.47;25.39
24.59;25.36
25.17;25.36
25.23;25.16
25.23;25.6
25.39;25.88
25.73;26.03
25.84;26.45
25.93;25.99
26.26;25.88
25.75;26.07
25.58;25.58
25.54;25.37
25.27;24.94
25.19;24.12
25.11;24.92
24.42;24.23
24.84;24.27
24.35;24.46
24.34;24.82
24.24;25.68
24.6;25.29
25.38;25.68
25.38;25.78
25.5;25.93
25.91;25.72
25.84;26.95
25.94;27.18
26.6;27.33
27.48;27.16
27.66;26.75
27.37;26.57
27.09;26.99
26.8;26.77
26.92;27.1
26.82;26.87
27.02;26.76
27.07;27.21
27.06;27.26
27.25;26.86
27.56;27.31
27.31;27.45
27.57;27.17
27.7;27.18
27.66;28.03
27.61;28.39
28.24;28.51
28.47;28.82
28.68;29.05
29.02;28.6
29.22;28.62
29.02;29.02
28.95;28.94
29.03;29.05
29.24;28.92
29.05;28.58
29.09;29.0
28.78;28.91
29.04;28.88
29.09;28.72
29.2;28.65
28.96;28.5
29.1;28.51
28.87;28.55
28.75;28.09
28.51;27.6
28.26;28.03
27.92;27.78
28.02;27.41
27.95;27.77
27.62;27.94
27.82;27.42
27.97;26.85
27.82;26.8
27.5;26.57
27.29;26.26
26.86;26.29
26.63;26.47
26.48;26.44
26.74;26.85
26.67;27.54
26.92;26.57
27.54;26.46
26.82;26.4
26.55;26.73
26.38;26.9
26.42;27.01
26.63;26.93
26.58;27.29
26.51;27.64
26.76;27.78
27.19;27.97
27.55;27.87
27.52;27.69
27.65;28.11
27.54;28.09
27.76;27.98
27.8;28.25
27.85;28.55
28.09;28.34
28.16;29.17
27.86;29.75
28.55;29.73
29.14;29.83
29.22;29.85
29.24;30.28
29.17;30.17
29.45;30.2
29.72;30.23
29.98;30.23
29.81;30.26
29.68;30.13
29.75;30.41
29.77;30.46
29.9;30.8
30.16;31.43
30.51;31.63
30.92;31.49
31.33;31.44
31.28;31.27
31.02;31.84
31.0;31.54
31.24;31.77
30.92;31.63
30.9;31.95
31.12;32.44
31.44;32.15
32.04;32.1
32.06;32.42
31.9;32.6
32.13;32.09
32.36;32.4
32.02;32.73
32.1;32.75
32.36;32.94
32.47;32.95
32.65;33.18
32.93;32.53
33.26;32.5
32.93;33.34
32.8;33.0
33.07;33.64
32.89;32.77
33.34;31.65
32.89;30.46
31.75;29.92
30.7;31.61
30.1;32.03
31.09;31.46
31.9;31.12
31.9;30.51
31.55;30.63
30.98;30.21
30.8;29.91
30.52;28.65
30.05;29.44
29.31;29.09
29.37;28.95
29.07;29.62
28.98;30.78
29.41;29.93
30.43;29.85
30.04;31.12
29.63;31.09
30.31;30.17
30.68;29.59
30.12;29.69
29.72;29.5
29.49;30.55
29.33;30.67
29.98;30.39
30.21;31.34
30.13;31.16
30.66;31.41
30.78;31.48
30.95;31.4
31.01;30.77
31.11;30.76
30.82;30.09
30.46;29.99
30.12;29.75
29.88;28.93
29.57;28.21
28.99;28.2
28.31;28.11
28.07;28.41
28.19;29.68
28.46;29.86
29.39;30.23
29.64;30.25
29.99;30.86
29.93;30.67
30.29;30.5
30.36;29.58
30.27;29.83
29.52;29.91
29.41;29.39
29.7;30.09
29.38;30.57
29.49;30.81
29.85;30.7
29.91;30.49
29.89;30.19
29.49;30.17
29.49;30.88
29.47;30.64
29.85;31.2
30.16;31.33
30.62;31.35
30.89;31.49
31.0;31.61
31.12;30.65
30.98;30.44
30.39;30.17
30.16;30.15
30.01;30.24
29.68;30.37
29.84;29.73
30.06;29.6
29.52;29.49
29.32;28.79
29.24;28.76
28.75;28.61
28.61;29.36
28.31;28.97
28.78;29.14
28.73;30.01
28.92;30.37
29.56;31.05
29.88;30.31
30.31;30.31
29.99;30.52
29.79;30.59
29.9;30.69
29.83;30.5
30.01;30.64
29.93;30.6
30.08;30.95
30.22;31.26
30.42;30.9
30.38;30.44
30.03;29.66
29.79;30.08
29.13;29.82
29.24;29.75
29.38;29.57
29.36;29.65
29.07;29.86
29.15;29.68
29.44;30.3
29.42;30.2
29.82;30.37
29.78;30.91
29.91;30.96
30.34;30.88
30.65;31.27
30.56;31.21
30.78;31.24
30.82;31.12
30.67;30.67
30.63;31.01
30.49;31.06
30.67;31.32
30.59;31.76
30.68;32.21
31.01;32.17
31.5;32.7
31.7;32.36
31.97;32.27
31.86;32.34
31.75;32.5
31.68;33.17
31.85;33.32
32.4;33.19
32.85;33.01
32.81;33.13
32.6;32.18
32.55;33.81
32.02;33.36
32.78;33.07
33.02;33.34
32.48;33.66
32.54;33.15
32.96;33.09
32.94;32.35
32.91;33.02
32.62;32.87
32.83;32.62
32.85;32.7
32.6;33.25
32.53;33.44
32.94;33.67
33.14;33.64
33.2;33.43
33.3;33.11
33.3;33.27
33.06;33.19
33.08;33.62
32.91;33.72
33.17;33.46
33.53;33.51
33.25;33.55
33.19;33.56
33.1;33.8
33.09;34.36
33.16;34.14
33.42;33.94
33.57;33.83
33.52;34.05
33.25;33.94
33.24;33.96
33.11;34.24
33.07;35.3
33.29;36.18
34.05;35.9
34.76;35.72
34.88;35.77
34.8;35.67
34.74;35.47
34.98;35.55
34.74;35.58
34.71;35.67
34.77;35.39
34.81;35.47
34.55;35.98
34.45;36.16
34.88;36.09
35.15;35.71
35.36;35.73
35.19;35.18
34.92;35.19
34.56;36.11
34.4;36.66
34.98;36.67
35.35;36.86
35.5;37.07
35.86;37.29
36.01;39.26
36.25;39.22
37.65;39.31
38.09;39.15
38.2;39.02
37.92;39.57
37.83;39.57
38.11;39.44
38.33;38.62
38.31;38.15
37.72;38.41
37.07;38.89
37.26;39.6
37.52;38.93
38.15;39.2
38.04;39.9
38.12;39.43
38.47;38.95
38.43;39.12
38.32;39.04
38.34;38.45
38.32;38.87
38.14;38.25
38.48;37.68
38.07;36.76
37.5;36.91
36.62;37.33
36.24;37.87
36.45;37.52
36.93;38.25
37.13;38.81
37.6;38.91
38.13;38.5
38.22;38.88
38.04;39.25
38.19;39.02
38.54;38.8
38.43;38.6
38.07;38.42
37.95;38.27
37.82;38.07
37.65;37.81
37.54;37.93
37.3;37.69
37.02;37.76
36.42;37.14
36.44;37.59
36.44;37.3
36.64;37.44
36.64;38.07
36.65;38.27
37.12;37.97
37.63;38.33
37.45;38.55
37.4;38.95
37.36;39.02
37.64;39.18
38.0;39.0
38.27;38.59
38.28;38.65
38.01;38.99
37.91;39.02
37.93;39.76
38.05;37.59
38.6;37.65
37.25;37.59
36.73;37.06
36.6;37.13
36.2;37.5
36.18;37.47
36.48;37.58
36.72;37.27
36.61;37.21
36.37;37.24
36.16;37.11
36.17;37.59
36.27;37.69
36.59;36.58
36.69;36.27
35.96;35.66
35.37;35.67
35.0;35.63
34.85;35.52
34.71;35.65
34.36;34.86
34.34;34.74
33.86;34.94
33.75;34.76
33.89;34.42
34.08;34.44
33.8;34.62
33.57;35.11
33.65;34.69
34.12;34.24
33.95;34.03
33.62;34.47
33.42;34.33
33.57;34.72
33.69;35.35
33.85;35.96
34.35;36.19
34.98;35.83
35.08;35.98
34.77;36.14
34.89;35.51
34.87;35.45
34.55;35.82
34.45;35.84
34.73;35.56
34.75;35.09
34.66;35.8
34.2;35.64
34.49;36.89
34.46;36.81
35.19;36.73
35.45;36.68
35.32;35.78
35.46;35.67
34.85;34.97
34.35;34.81
34.01;33.47
33.78;33.89
32.93;32.01
32.9;31.85
31.89;29.91
31.26;31.42
29.93;28.56
30.37;29.08
29.01;29.96
28.71;30.47
29.09;30.26
29.48;30.21
29.45;29.47
29.68;28.84
29.12;28.99
28.64;29.07
28.48;29.44
28.49;28.98
28.74;29.34
28.44;30.02
28.37;30.41
28.66;30.84
29.24;30.22
29.62;29.39
29.37;28.76
28.67;29.54
28.21;28.93
28.32;28.11
28.36;28.33
27.63;28.48
27.73;29.24
27.67;29.83
28.32;29.8
28.82;29.44
29.09;29.26
28.72;28.32
28.71;26.76
28.16;27.01
27.07;27.44
26.83;28.21
27.02;27.6
27.55;27.75
27.37;27.31
27.37;26.26
27.29;27.04
26.43;28.53
26.58;29.0
27.75;28.7
28.22;29.88
28.18;29.53
28.95;30.57
28.72;30.38
29.29;31.21
29.5;30.23
29.99;30.73
29.64;30.43
29.83;30.64
29.75;31.84
29.59;32.03
30.48;31.25
31.06;31.74
30.69;32.85
31.0;32.79
31.69;31.58
31.81;30.42
31.03;30.85
30.3;31.72
30.58;31.47
31.15;31.83
31.16;31.95
31.28;30.6
31.21;31.36
30.43;33.23
30.76;32.7
31.9;33.0
32.15;32.17
32.23;31.83
32.02;32.26
31.36;31.08
31.75;30.8
30.99;30.24
30.53;30.34
29.84;30.85
29.73;30.79
30.04;32.46
30.04;32.59
31.18;33.15
31.54;33.45
31.77;33.35
32.19;33.59
32.34;32.52
32.51;33.1
31.78;33.18
31.8;32.9
31.8;32.37
31.71;32.4
31.46;32.52
31.73;31.99
31.29;33.3
31.04;33.39
31.7;34.02
32.05;34.71
32.6;34.63
33.25;34.29
